 # Re 	 CD 
 13.21 	 0.999454 
 13.22 	 0.999458 
 13.23 	 0.999463 
 13.24 	 0.999468 
 13.25 	 0.999473 
 13.26 	 0.999478 
 13.27 	 0.999483 
 13.28 	 0.999488 
 13.29 	 0.999493 
 13.3 	 0.999497 
 13.31 	 0.999502 
 13.32 	 0.999507 
 13.33 	 0.999512 
 13.34 	 0.999516 
 13.35 	 0.999521 
 13.36 	 0.999525 
 13.37 	 0.99953 
 13.38 	 0.999535 
 13.39 	 0.999539 
 13.4 	 0.999544 
 13.41 	 0.999548 
 13.42 	 0.999553 
 13.43 	 0.999557 
 13.44 	 0.999561 
 13.45 	 0.999566 
 13.46 	 0.99957 
 13.47 	 0.999574 
 13.48 	 0.999579 
 13.49 	 0.999583 
 13.5 	 0.999587 
 13.51 	 0.999591 
 13.52 	 0.999595 
 13.53 	 0.999599 
 13.54 	 0.999604 
 13.55 	 0.999608 
 13.56 	 0.999612 
 13.57 	 0.999616 
 13.58 	 0.99962 
 13.59 	 0.999624 
 13.6 	 0.999628 
 13.61 	 0.999632 
 13.62 	 0.999635 
 13.63 	 0.999639 
 13.64 	 0.999643 
 13.65 	 0.999647 
 13.66 	 0.999651 
 13.67 	 0.999654 
 13.68 	 0.999658 
 13.69 	 0.999662 
 13.7 	 0.999666 
 13.71 	 0.999669 
 13.72 	 0.999673 
 13.73 	 0.999676 
 13.74 	 0.99968 
 13.75 	 0.999683 
 13.76 	 0.999687 
 13.77 	 0.99969 
 13.78 	 0.999694 
 13.79 	 0.999697 
 13.8 	 0.999701 
 13.81 	 0.999704 
 13.82 	 0.999707 
 13.83 	 0.999711 
 13.84 	 0.999714 
 13.85 	 0.999717 
 13.86 	 0.999721 
 13.87 	 0.999724 
 13.88 	 0.999727 
 13.89 	 0.99973 
 13.9 	 0.999733 
 13.91 	 0.999736 
 13.92 	 0.999739 
 13.93 	 0.999743 
 13.94 	 0.999746 
 13.95 	 0.999749 
 13.96 	 0.999751 
 13.97 	 0.999754 
 13.98 	 0.999757 
 13.99 	 0.99976 
 14 	 0.999763 
 14.01 	 0.999766 
 14.02 	 0.999769 
 14.03 	 0.999772 
 14.04 	 0.999774 
 14.05 	 0.999777 
 14.06 	 0.99978 
 14.07 	 0.999782 
 14.08 	 0.999785 
 14.09 	 0.999788 
 14.1 	 0.99979 
 14.11 	 0.999793 
 14.12 	 0.999795 
 14.13 	 0.999798 
 14.14 	 0.9998 
 14.15 	 0.999803 
 14.16 	 0.999805 
 14.17 	 0.999808 
 14.18 	 0.99981 
 14.19 	 0.999813 
 14.2 	 0.999815 
 14.21 	 0.999817 
 14.22 	 0.999819 
 14.23 	 0.999822 
 14.24 	 0.999824 
 14.25 	 0.999826 
 14.26 	 0.999828 
 14.27 	 0.99983 
 14.28 	 0.999833 
 14.29 	 0.999835 
 14.3 	 0.999837 
 14.31 	 0.999839 
 14.32 	 0.999841 
 14.33 	 0.999843 
 14.34 	 0.999845 
 14.35 	 0.999847 
 14.36 	 0.999849 
 14.37 	 0.999851 
 14.38 	 0.999852 
 14.39 	 0.999854 
 14.4 	 0.999856 
 14.41 	 0.999858 
 14.42 	 0.99986 
 14.43 	 0.999861 
 14.44 	 0.999863 
 14.45 	 0.999865 
 14.46 	 0.999867 
 14.47 	 0.999868 
 14.48 	 0.99987 
 14.49 	 0.999871 
 14.5 	 0.999873 
 14.51 	 0.999874 
 14.52 	 0.999876 
 14.53 	 0.999877 
 14.54 	 0.999879 
 14.55 	 0.99988 
 14.56 	 0.999882 
 14.57 	 0.999883 
 14.58 	 0.999885 
 14.59 	 0.999886 
 14.6 	 0.999887 
 14.61 	 0.999888 
 14.62 	 0.99989 
 14.63 	 0.999891 
 14.64 	 0.999892 
 14.65 	 0.999893 
 14.66 	 0.999895 
 14.67 	 0.999896 
 14.68 	 0.999897 
 14.69 	 0.999898 
 14.7 	 0.999899 
 14.71 	 0.9999 
 14.72 	 0.999901 
 14.73 	 0.999902 
 14.74 	 0.999903 
 14.75 	 0.999904 
 14.76 	 0.999905 
 14.77 	 0.999906 
 14.78 	 0.999906 
 14.79 	 0.999907 
 14.8 	 0.999908 
 14.81 	 0.999909 
 14.82 	 0.99991 
 14.83 	 0.99991 
 14.84 	 0.999911 
 14.85 	 0.999912 
 14.86 	 0.999912 
 14.87 	 0.999913 
 14.88 	 0.999914 
 14.89 	 0.999914 
 14.9 	 0.999915 
 14.91 	 0.999915 
 14.92 	 0.999916 
 14.93 	 0.999916 
 14.94 	 0.999917 
 14.95 	 0.999917 
 14.96 	 0.999918 
 14.97 	 0.999918 
 14.98 	 0.999918 
 14.99 	 0.999919 
 15 	 0.999919 
 15.01 	 0.999919 
 15.02 	 0.99992 
 15.03 	 0.99992 
 15.04 	 0.99992 
