 # Re 	 CD 
 12.07 	 0.99161 
 12.08 	 0.990652 
 12.09 	 0.989704 
 12.1 	 0.988768 
 12.11 	 0.987843 
 12.12 	 0.98693 
 12.13 	 0.986027 
 12.14 	 0.985135 
 12.15 	 0.984254 
 12.16 	 0.983384 
 12.17 	 0.982525 
 12.18 	 0.981677 
 12.19 	 0.980839 
 12.2 	 0.980012 
 12.21 	 0.979196 
 12.22 	 0.97839 
 12.23 	 0.977595 
 12.24 	 0.976811 
 12.25 	 0.976037 
 12.26 	 0.975273 
 12.27 	 0.97452 
 12.28 	 0.973777 
 12.29 	 0.973044 
 12.3 	 0.972322 
 12.31 	 0.97161 
 12.32 	 0.970908 
 12.33 	 0.970216 
 12.34 	 0.969534 
 12.35 	 0.968862 
 12.36 	 0.9682 
 12.37 	 0.967548 
 12.38 	 0.966906 
 12.39 	 0.966274 
 12.4 	 0.965651 
 12.41 	 0.965039 
 12.42 	 0.964436 
 12.43 	 0.963842 
 12.44 	 0.963258 
 12.45 	 0.962684 
 12.46 	 0.962119 
 12.47 	 0.961564 
 12.48 	 0.961018 
 12.49 	 0.960482 
 12.5 	 0.959955 
 12.51 	 0.959437 
 12.52 	 0.958928 
 12.53 	 0.958429 
 12.54 	 0.957939 
 12.55 	 0.957457 
 12.56 	 0.956985 
 12.57 	 0.956522 
 12.58 	 0.956068 
 12.59 	 0.955623 
 12.6 	 0.955186 
 12.61 	 0.954759 
 12.62 	 0.95434 
 12.63 	 0.95393 
 12.64 	 0.953529 
 12.65 	 0.953136 
 12.66 	 0.952752 
 12.67 	 0.952376 
 12.68 	 0.952009 
 12.69 	 0.95165 
 12.7 	 0.9513 
 12.71 	 0.950958 
 12.72 	 0.950625 
 12.73 	 0.950299 
 12.74 	 0.949982 
 12.75 	 0.949673 
 12.76 	 0.949373 
 12.77 	 0.94908 
 12.78 	 0.948795 
 12.79 	 0.948519 
 12.8 	 0.94825 
 12.81 	 0.947989 
 12.82 	 0.947737 
 12.83 	 0.947491 
 12.84 	 0.947254 
 12.85 	 0.947025 
 12.86 	 0.946803 
 12.87 	 0.946588 
 12.88 	 0.946382 
 12.89 	 0.946182 
 12.9 	 0.945991 
 12.91 	 0.945807 
 12.92 	 0.94563 
 12.93 	 0.94546 
 12.94 	 0.945298 
 12.95 	 0.945143 
 12.96 	 0.944996 
 12.97 	 0.944855 
 12.98 	 0.944722 
 12.99 	 0.944595 
 13 	 0.944476 
 13.01 	 0.944364 
 13.02 	 0.944258 
 13.03 	 0.94416 
 13.04 	 0.944068 
 13.05 	 0.943984 
 13.06 	 0.943906 
 13.07 	 0.943834 
 13.08 	 0.94377 
 13.09 	 0.943712 
 13.1 	 0.94366 
 13.11 	 0.943615 
 13.12 	 0.943577 
 13.13 	 0.943545 
 13.14 	 0.943519 
 13.15 	 0.9435 
 13.16 	 0.943487 
 13.17 	 0.94348 
 13.18 	 0.94348 
 13.19 	 0.943485 
 13.2 	 0.943497 
 13.21 	 0.943515 
 13.22 	 0.943539 
 13.23 	 0.943568 
 13.24 	 0.943604 
 13.25 	 0.943646 
 13.26 	 0.943693 
 13.27 	 0.943747 
 13.28 	 0.943806 
 13.29 	 0.94387 
 13.3 	 0.943941 
 13.31 	 0.944017 
 13.32 	 0.944098 
 13.33 	 0.944186 
 13.34 	 0.944278 
 13.35 	 0.944376 
 13.36 	 0.94448 
 13.37 	 0.944588 
 13.38 	 0.944702 
 13.39 	 0.944822 
 13.4 	 0.944946 
 13.41 	 0.945076 
 13.42 	 0.94521 
 13.43 	 0.94535 
 13.44 	 0.945495 
 13.45 	 0.945645 
 13.46 	 0.945799 
 13.47 	 0.945959 
 13.48 	 0.946123 
 13.49 	 0.946292 
 13.5 	 0.946466 
 13.51 	 0.946645 
 13.52 	 0.946828 
 13.53 	 0.947016 
 13.54 	 0.947209 
 13.55 	 0.947405 
 13.56 	 0.947607 
 13.57 	 0.947813 
 13.58 	 0.948023 
 13.59 	 0.948237 
 13.6 	 0.948456 
 13.61 	 0.948679 
 13.62 	 0.948906 
 13.63 	 0.949138 
 13.64 	 0.949373 
 13.65 	 0.949613 
 13.66 	 0.949856 
 13.67 	 0.950104 
 13.68 	 0.950355 
 13.69 	 0.950611 
 13.7 	 0.95087 
 13.71 	 0.951132 
 13.72 	 0.951399 
 13.73 	 0.951669 
 13.74 	 0.951943 
 13.75 	 0.952221 
 13.76 	 0.952502 
 13.77 	 0.952786 
 13.78 	 0.953074 
 13.79 	 0.953366 
 13.8 	 0.953661 
 13.81 	 0.953959 
 13.82 	 0.95426 
 13.83 	 0.954565 
 13.84 	 0.954873 
 13.85 	 0.955184 
 13.86 	 0.955498 
 13.87 	 0.955815 
 13.88 	 0.956135 
 13.89 	 0.956458 
 13.9 	 0.956784 
 13.91 	 0.957112 
 13.92 	 0.957444 
 13.93 	 0.957778 
 13.94 	 0.958115 
 13.95 	 0.958455 
 13.96 	 0.958798 
 13.97 	 0.959143 
 13.98 	 0.95949 
 13.99 	 0.95984 
 14 	 0.960193 
 14.01 	 0.960547 
 14.02 	 0.960905 
 14.03 	 0.961264 
 14.04 	 0.961626 
 14.05 	 0.96199 
 14.06 	 0.962356 
 14.07 	 0.962724 
 14.08 	 0.963095 
 14.09 	 0.963467 
 14.1 	 0.963842 
 14.11 	 0.964218 
 14.12 	 0.964596 
 14.13 	 0.964976 
 14.14 	 0.965358 
 14.15 	 0.965742 
 14.16 	 0.966127 
 14.17 	 0.966514 
 14.18 	 0.966903 
 14.19 	 0.967293 
 14.2 	 0.967685 
 14.21 	 0.968078 
 14.22 	 0.968473 
 14.23 	 0.968869 
 14.24 	 0.969266 
 14.25 	 0.969665 
 14.26 	 0.970065 
 14.27 	 0.970466 
 14.28 	 0.970868 
 14.29 	 0.971272 
 14.3 	 0.971676 
 14.31 	 0.972082 
