 # Re 	 CD 
 2820.2 	 8.98754e+007 
 2830.2 	 9.19162e+007 
 2840.2 	 9.39859e+007 
 2850.2 	 9.60848e+007 
 2860.2 	 9.8213e+007 
 2870.2 	 1.00371e+008 
 2880.2 	 1.02559e+008 
 2890.2 	 1.04777e+008 
 2900.2 	 1.07025e+008 
 2910.2 	 1.09304e+008 
 2920.2 	 1.11614e+008 
 2930.2 	 1.13955e+008 
 2940.2 	 1.16327e+008 
 2950.2 	 1.1873e+008 
 2960.2 	 1.21166e+008 
 2970.2 	 1.23633e+008 
 2980.2 	 1.26133e+008 
 2990.2 	 1.28666e+008 
 3000.2 	 1.31231e+008 
 3010.2 	 1.33829e+008 
 3020.2 	 1.3646e+008 
 3030.2 	 1.39125e+008 
 3040.2 	 1.41824e+008 
 3050.2 	 1.44556e+008 
 3060.2 	 1.47323e+008 
 3070.2 	 1.50125e+008 
 3080.2 	 1.52961e+008 
 3090.2 	 1.55832e+008 
 3100.2 	 1.58738e+008 
 3110.2 	 1.6168e+008 
 3120.2 	 1.64657e+008 
 3130.2 	 1.67671e+008 
 3140.2 	 1.7072e+008 
 3150.2 	 1.73806e+008 
 3160.2 	 1.76929e+008 
 3170.2 	 1.80089e+008 
 3180.2 	 1.83286e+008 
 3190.2 	 1.86521e+008 
 3200.2 	 1.89793e+008 
 3210.2 	 1.93103e+008 
 3220.2 	 1.96452e+008 
 3230.2 	 1.99839e+008 
 3240.2 	 2.03265e+008 
 3250.2 	 2.06729e+008 
 3260.2 	 2.10234e+008 
 3270.2 	 2.13777e+008 
 3280.2 	 2.1736e+008 
 3290.2 	 2.20984e+008 
 3300.2 	 2.24648e+008 
 3310.2 	 2.28352e+008 
 3320.2 	 2.32097e+008 
 3330.2 	 2.35883e+008 
 3340.2 	 2.3971e+008 
 3350.2 	 2.43579e+008 
 3360.2 	 2.4749e+008 
 3370.2 	 2.51443e+008 
 3380.2 	 2.55439e+008 
 3390.2 	 2.59477e+008 
 3400.2 	 2.63558e+008 
 3410.2 	 2.67682e+008 
 3420.2 	 2.71849e+008 
 3430.2 	 2.7606e+008 
 3440.2 	 2.80315e+008 
 3450.2 	 2.84615e+008 
 3460.2 	 2.88958e+008 
 3470.2 	 2.93347e+008 
 3480.2 	 2.9778e+008 
 3490.2 	 3.02259e+008 
 3500.2 	 3.06784e+008 
 3510.2 	 3.11354e+008 
 3520.2 	 3.1597e+008 
 3530.2 	 3.20632e+008 
 3540.2 	 3.25341e+008 
 3550.2 	 3.30097e+008 
 3560.2 	 3.349e+008 
 3570.2 	 3.39751e+008 
 3580.2 	 3.44649e+008 
 3590.2 	 3.49595e+008 
 3600.2 	 3.54589e+008 
 3610.2 	 3.59632e+008 
 3620.2 	 3.64724e+008 
 3630.2 	 3.69864e+008 
 3640.2 	 3.75054e+008 
 3650.2 	 3.80293e+008 
 3660.2 	 3.85583e+008 
 3670.2 	 3.90922e+008 
 3680.2 	 3.96312e+008 
 3690.2 	 4.01752e+008 
 3700.2 	 4.07243e+008 
 3710.2 	 4.12785e+008 
 3720.2 	 4.18379e+008 
 3730.2 	 4.24025e+008 
 3740.2 	 4.29722e+008 
 3750.2 	 4.35472e+008 
 3760.2 	 4.41275e+008 
 3770.2 	 4.4713e+008 
 3780.2 	 4.53038e+008 
 3790.2 	 4.59e+008 
 3800.2 	 4.65015e+008 
 3810.2 	 4.71084e+008 
